"","SP500","FTSE100"
"873",539.93,1014.63
"874",537.15,1021.06
"875",533.61,1020.92
"876",535.11,1028.99
"877",534.65,1026.52
"878",536.92,1027.16
"879",537.49,1035.67
"880",535.79,1030.11
"881",537.2,1034.77
"882",538.55,1032.15
"883",532.72,1033.48
"884",535.78,1042.8
"885",535.43,1044.3
"886",532.14,1041.83
"887",536.51,1039.67
"888",537.7,1037.08
"889",542.9,1040.5
"890",541.53,1036.55
"891",541.34,1041.57
"892",539.56,1037.56
"893",536.01,1026.39
"894",536.01,1020.33
"895",530.74,1023.77
"896",532.43,1023.85
"897",539.41,1023.01
"898",538.84,1022.01
"899",539.87,1017.61
"900",538.8,1019.83
"901",541.21,1018.11
"902",540.21,1017.88
"903",536.04,1018.35
"904",536.43,1023.24
"905",537.99,1016.38
"906",537.84,1012.86
"907",534.63,1015.01
"908",537.74,1017.74
"909",540.22,1023.68
"910",539.29,1036.37
"911",538.03,1038.1
"912",541.7,1050.11
"913",539.16,1053.3
"914",541.75,1060.22
"915",540.89,1061.41
"916",540.06,1060.08
"917",539.65,1060.85
"918",540.34,1070.33
"919",543.21,1076.34
"920",541.72,1071.01
"921",542.97,1083.43
"922",541.19,1084.51
"923",542.66,1084.87
"924",545.5,1088.15
"925",546.5,1094.21
"926",550.01,1111.79
"927",550.53,1108.83
"928",550.21,1105.98
"929",549.15,1100.36
"930",554.65,1103
"931",555.15,1113.79
"932",556.38,1113.81
"933",555.78,1121.55
"934",557.53,1121.55
"935",559.62,1121.31
"936",559.2,1115.92
"937",557.03,1111.4
"938",557.17,1105.87
"939",557.17,1107.23
"940",553.78,1099.83
"941",551.54,1098.68
"942",552.79,1097.16
"943",557.89,1099.26
"944",558.52,1094.84
"945",555.94,1096
"946",558.03,1082.04
"947",555.43,1087.27
"948",554.7,1087.85
"949",550.24,1092.5
"950",547.7,1091.43
"951",551.64,1093.59
"952",553.5,1091.32
"953",553.61,1092.75
"954",558.73,1100.43
"955",558.41,1104.28
"956",556.73,1101.79
"957",555.33,1104.48
"958",558.24,1105.13
"959",558.53,1116.69
"960",558.39,1123.06
"961",557.84,1128.72
"962",555.97,1125.67
"963",557.39,1131.56
"964",558.08,1129.24
"965",558.37,1126.49
"966",558.82,1121.48
"967",565.34,1123.44
"968",568.57,1136.03
"969",567.36,1143.43
"970",564.67,1140.52
"971",564.5,1150.27
"972",563.64,1161.9
"973",561.1,1165.81
"974",562.32,1160.64
"975",562.53,1153.53
"976",562.91,1149.53
"977",566.69,1152.72
"978",566.82,1155.61
"979",568.49,1153.21
"980",567.86,1153.09
"981",561.33,1152.44
"982",554.82,1147.59
"983",557.67,1124.48
"984",558.56,1121.58
"985",558.76,1128.29
"986",562.9,1129.18
"987",561.59,1129.65
"988",564.94,1129.4
"989",563.11,1128.72
"990",566.83,1130.26
"991",564.53,1138.46
"992",563.1,1140.46
"993",561.93,1134.07
"994",557.74,1120.44
"995",560.12,1119.95
"996",561.94,1119.19
"997",561.94,1128.64
"998",562.8,1135.31
"999",561.49,1145.29
"1000",561.41,1156.62
"1001",561.58,1180.84
"1002",563.18,1177.47
"1003",565.34,1181.23
"1004",567.31,1182.36
